"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3265","loads core homepage sections","firefox","2026-07-13","passed","2026-07-13","Homepage","homepage.spec.js","",""
"","4803","get started link","chromium","2026-07-13","passed","2026-07-13","","example.spec.js","",""
"","3291","opens the homepage and checks key sections","chromium","2026-07-13","passed","2026-07-13","Homepage seed","seed.spec.ts","",""
"","3008","loads core homepage sections","webkit","2026-07-13","passed","2026-07-13","Homepage","homepage.spec.js","",""
"","3106","opens the homepage and checks key sections","firefox","2026-07-13","passed","2026-07-13","Homepage seed","seed.spec.ts","",""
"","4749","has title","chromium","2026-07-13","passed","2026-07-13","","example.spec.js","",""
"","3437","loads core homepage sections","chromium","2026-07-13","passed","2026-07-13","Homepage","homepage.spec.js","",""
"","3046","has title","webkit","2026-07-13","passed","2026-07-13","","example.spec.js","",""
"","6441","has title","firefox","2026-07-13","passed","2026-07-13","","example.spec.js","",""
"","7444","get started link","webkit","2026-07-13","passed","2026-07-13","","example.spec.js","",""
"","1571","opens the homepage and checks key sections","webkit","2026-07-13","passed","2026-07-13","Homepage seed","seed.spec.ts","",""
"","2457","get started link","firefox","2026-07-13","passed","2026-07-13","","example.spec.js","",""
